原料类型,霉变情况,来源情况,预估等级,茶渣_储存时间,果渣_褐变情况,原料是否匹配,等级是否匹配,路线_推荐强度,路线_风险等级,路线_首选目标,路线_适用原料类,路线_适用等级,匹配得分
茶渣,严重,来源不明,差,否,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0
豆制品/粮食发酵副产物,严重,明确可追溯,差,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.867387331970509
中药残余废弃物,无,基本可追溯,优,,,1,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,9.499623492343204
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,5.643751869207271
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,4.5283891799435345
豆制品/粮食发酵副产物,轻度,明确可追溯,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.25313290508910213
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,良,,是,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.847958651116206
茶渣,无,来源不明,差,否,,1,0,高,中,材料主线,茶渣,优/良,6.821018831892268
中药残余废弃物,严重,来源不明,优,,,1,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,6.703199707806376
中药残余废弃物,无,明确可追溯,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.923959564808411
茶渣,无,基本可追溯,差,否,,1,1,中,低,无害化兜底,茶渣,差,9.006916665658087
花生壳/板栗壳,轻度,基本可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.206749760186587
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,差,,是,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,9.596188100039823
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,良,,是,0,0,中,高,食品支线,茶渣,优,0.3987406017144094
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.7038417447874386
茶渣,轻度,明确可追溯,优,是,,1,0,中,低,无害化兜底,茶渣,差,6.179076340434622
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,是,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.646958649275433
茶渣,无,来源不明,差,否,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,1.2045136128399023
茶渣,严重,基本可追溯,差,是,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.060709194822285
花生壳/板栗壳,轻度,来源不明,差,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,9.443899904521087
花生壳/板栗壳,轻度,来源不明,良,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.251673280597788
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,良,,否,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.6441947345022703
花生壳/板栗壳,严重,基本可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,4.753513924437239
豆制品/粮食发酵副产物,严重,来源不明,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.716373286676977
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.482672993998784
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,优,,是,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.021835033402978
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,否,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.51874037040869
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,优,,是,0,0,中,低,无害化兜底,茶渣,差,2.3193958280796414
花生壳/板栗壳,严重,来源不明,差,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.5203897952192555
豆制品/粮食发酵副产物,严重,来源不明,优,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,10.06304202738757
豆制品/粮食发酵副产物,严重,明确可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.401218344880556
豆制品/粮食发酵副产物,无,来源不明,优,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,10.816646914236486
中药残余废弃物,轻度,基本可追溯,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.021677543809789
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,11.221098985308267
豆制品/粮食发酵副产物,无,来源不明,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.15917672119623283
豆制品/粮食发酵副产物,严重,来源不明,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.11562693029522686
茶渣,轻度,基本可追溯,优,是,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.027226935217458
茶渣,无,来源不明,良,是,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.482672445854359
花生壳/板栗壳,严重,基本可追溯,优,,,0,0,中,低,无害化兜底,茶渣,差,1.5390683639373424
中药残余废弃物,无,明确可追溯,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.274679835882877
花生壳/板栗壳,轻度,来源不明,优,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,9.626732010264483
中药残余废弃物,无,明确可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.987925312051298
花生壳/板栗壳,轻度,明确可追溯,差,,,1,0,高,中,材料主线,花生壳/板栗壳,优/良,7.276381713425376
中药残余废弃物,无,来源不明,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.260081921731583
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,优,,是,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.380284675130308
花生壳/板栗壳,严重,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,0.03995639048729038
茶渣,轻度,来源不明,良,是,,1,1,高,低,材料主线,茶渣,优/良/差,11.42722033815769
花生壳/板栗壳,严重,来源不明,差,,,1,0,高,中,材料主线,花生壳/板栗壳,优/良,7.406758846719584
豆制品/粮食发酵副产物,轻度,明确可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.2541475302282254
茶渣,严重,来源不明,良,是,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.9393409896655704
花生壳/板栗壳,严重,基本可追溯,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.755861748613367
中药残余废弃物,轻度,明确可追溯,优,,,0,1,高,中,材料主线,茶渣,优/良,6.024404457213336
花生壳/板栗壳,无,来源不明,良,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.125721563457494
花生壳/板栗壳,轻度,来源不明,良,,,0,0,中,高,食品支线,茶渣,优,0.0
茶渣,轻度,明确可追溯,差,否,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,3.040962896001152
中药残余废弃物,无,基本可追溯,良,,,1,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,9.08934916382847
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,是,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,9.473121341336165
豆制品/粮食发酵副产物,严重,明确可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,4.6474191726426435
中药残余废弃物,无,来源不明,差,,,1,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,9.235475942487657
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,差,,是,0,0,高,中,材料主线,花生壳/板栗壳,优/良,2.849520663707385
花生壳/板栗壳,轻度,来源不明,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.4670647330984172
花生壳/板栗壳,轻度,明确可追溯,差,,,0,1,中,低,无害化兜底,茶渣,差,4.74355600481084
花生壳/板栗壳,轻度,来源不明,良,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,9.866944058470498
